"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1427","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","2546","Create course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","3290","User login with correct email and password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1853","Check displaying of dashboard page","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","1577","test_navigate_from_authorization_to_registration[chromium]","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1306","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1398","Check displaying of empty courses list","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","1934","Check displaying of dashboard page","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","2333","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","3910","User login with correct email and password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1828","Registration with correct email, username and password","LMS system","2026-03-12","passed","2026-03-12","Registration","Authentication","",""
"","4223","Edit course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","1818","Check displaying of dashboard page","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","1375","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1647","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","3240","Create course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","4724","Edit course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","1568","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","2070","test_navigate_from_authorization_to_registration[firefox]","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","2291","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1948","Registration with correct email, username and password","LMS system","2026-03-12","passed","2026-03-12","Registration","Authentication","",""
"","2322","Registration with correct email, username and password","LMS system","2026-03-12","passed","2026-03-12","Registration","Authentication","",""
"","2195","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","2447","Create course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","2263","User login with wrong email or password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1310","test_navigate_from_authorization_to_registration[webkit]","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1932","Check displaying of empty courses list","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","10986","User login with correct email and password","LMS system","2026-03-12","passed","2026-03-12","Authorization","Authentication","",""
"","1590","Check displaying of empty courses list","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
"","3182","Edit course","LMS system","2026-03-12","passed","2026-03-12","Courses","Courses","",""
